"model","week_ahead","choose_window_interval","avg_wis","cov50","cov90"
"InTimePlus_v3_nontuning_rolling_v2","0","5",2.1848971923218,0.458937198067633,0.753623188405797
"InTimePlus_v3_nontuning_rolling_v2","1","12",2.54931265920858,0.473429951690821,0.753623188405797
"InTimePlus_v3_nontuning_rolling_v2","2","16",2.62938571750243,0.560386473429952,0.763285024154589
"InTimePlus_v3_nontuning_rolling_v2","3","28",2.97886082890704,0.54368932038835,0.766990291262136
"InTimePlus_v3_nontuning_rolling_v2","4","32",2.9541622823233,0.551219512195122,0.770731707317073
"InTimePlus_v3_nontuning_rolling_v2","5","22",2.84485846079406,0.524509803921569,0.779411764705882
"InTimePlus_v3_nontuning_rolling_v2","6","34",3.08587268944103,0.625615763546798,0.793103448275862
"InTimePlus_v3_nontuning_rolling_v2","7","36",3.2059075180084,0.628712871287129,0.797029702970297
"InTimePlus_v3_nontuning_rolling_v2","8","36",3.42045120951839,0.646766169154229,0.810945273631841
"LSTM_v3_nontuning_rolling_v2","0","5",1.18278625238175,0.386473429951691,0.801932367149758
"LSTM_v3_nontuning_rolling_v2","1","16",1.95275798171006,0.594202898550725,0.806763285024155
"LSTM_v3_nontuning_rolling_v2","2","30",2.3080876421316,0.584541062801932,0.816425120772947
"LSTM_v3_nontuning_rolling_v2","3","34",2.53409692512736,0.577669902912621,0.825242718446602
"LSTM_v3_nontuning_rolling_v2","4","34",2.63150849466525,0.624390243902439,0.839024390243903
"LSTM_v3_nontuning_rolling_v2","5","36",2.71664202025647,0.602941176470588,0.843137254901961
"LSTM_v3_nontuning_rolling_v2","6","36",2.73034546879035,0.596059113300492,0.857142857142857
"LSTM_v3_nontuning_rolling_v2","7","38",2.83059572152663,0.633663366336634,0.861386138613861
"LSTM_v3_nontuning_rolling_v2","8","40",2.8416613638053,0.641791044776119,0.855721393034826
"GRU_v3_nontuning_rolling_v2","0","5",1.56748817876517,0.371980676328502,0.763285024154589
"GRU_v3_nontuning_rolling_v2","1","12",1.93485238514712,0.516908212560387,0.768115942028986
"GRU_v3_nontuning_rolling_v2","2","10",2.24884311720775,0.570048309178744,0.78743961352657
"GRU_v3_nontuning_rolling_v2","3","22",2.61141063697944,0.606796116504854,0.79126213592233
"GRU_v3_nontuning_rolling_v2","4","22",2.83626577101482,0.604878048780488,0.8
"GRU_v3_nontuning_rolling_v2","5","34",2.90497597877603,0.607843137254902,0.803921568627451
"GRU_v3_nontuning_rolling_v2","6","32",2.95971219449193,0.591133004926108,0.812807881773399
"GRU_v3_nontuning_rolling_v2","7","40",2.92564470277667,0.56930693069307,0.821782178217822
"GRU_v3_nontuning_rolling_v2","8","50",3.02701580149483,0.656716417910448,0.830845771144279
"TSTPlus_v3_nontuning_rolling","0","5",2.02404056360622,0.304347826086956,0.685990338164251
"TSTPlus_v3_nontuning_rolling","1","10",2.46644811517793,0.483091787439613,0.719806763285024
"TSTPlus_v3_nontuning_rolling","2","14",2.67645179227047,0.521739130434783,0.743961352657005
"TSTPlus_v3_nontuning_rolling","3","18",2.91905585300506,0.567961165048543,0.757281553398058
"TSTPlus_v3_nontuning_rolling","4","16",2.94572292883799,0.551219512195122,0.760975609756098
"TSTPlus_v3_nontuning_rolling","5","24",3.25928188348546,0.607843137254902,0.774509803921569
"TSTPlus_v3_nontuning_rolling","6","20",3.53768696540379,0.576354679802956,0.778325123152709
"TSTPlus_v3_nontuning_rolling","7","18",3.80317670509734,0.564356435643564,0.782178217821782
"TSTPlus_v3_nontuning_rolling","8","22",4.08178946298678,0.601990049751244,0.796019900497512
"SAE","0","5",1.26617577486183,0.454022988505747,0.839080459770115
"SAE","1","44",2.05946982936145,0.689655172413793,0.844827586206896
"SAE","2","42",2.40231520801327,0.706896551724138,0.850574712643678
"SAE","3","42",2.62229061804369,0.724137931034483,0.862068965517241
"SAE","4","46",2.76971215178941,0.689655172413793,0.862068965517242
"SAE","5","44",2.83985474289477,0.672413793103448,0.867816091954023
"SAE","6","50",2.8429847220709,0.71264367816092,0.867816091954023
"SAE","7","50",2.89532253892565,0.701149425287356,0.85632183908046
"SAE","8","46",2.92193307655029,0.67816091954023,0.862068965517241
"NBE","0","5",1.30702874959281,0.431034482758621,0.798850574712644
"NBE","1","16",2.09196530334983,0.563218390804598,0.804597701149425
"NBE","2","12",2.31716238148676,0.511494252873563,0.810344827586207
"NBE","3","24",2.59677963279134,0.574712643678161,0.816091954022989
"NBE","4","36",2.83038116130089,0.597701149425287,0.827586206896552
"NBE","5","38",2.78736524496066,0.60919540229885,0.839080459770115
"NBE","6","40",2.80368263281621,0.568965517241379,0.850574712643678
"NBE","7","42",2.78787018686145,0.632183908045977,0.85632183908046
"NBE","8","44",2.90836642243376,0.637931034482759,0.862068965517241
"AWAE","0","5",1.22040559373346,0.436781609195402,0.793103448275862
"AWAE","1","28",2.02128883237987,0.603448275862069,0.798850574712644
"AWAE","2","32",2.29385630216133,0.67816091954023,0.804597701149425
"AWAE","3","22",2.31821142653349,0.614942528735632,0.810344827586207
"AWAE","4","32",2.50175899976925,0.655172413793104,0.816091954022988
"AWAE","5","36",2.54162360596881,0.655172413793104,0.82183908045977
"AWAE","6","40",2.5265459732677,0.655172413793104,0.844827586206896
"AWAE","7","40",2.59247960938951,0.666666666666667,0.850574712643678
"AWAE","8","48",2.67912928207144,0.701149425287356,0.85632183908046
"AWBE","0","5",1.1882514765409,0.442528735632184,0.844827586206897
"AWBE","1","30",2.07192238155137,0.56896551724138,0.850574712643678
"AWBE","2","40",2.13524767754605,0.632183908045977,0.862068965517241
"AWBE","3","46",2.10956793830116,0.655172413793104,0.862068965517241
"AWBE","4","36",2.23768160785555,0.586206896551724,0.867816091954023
"AWBE","5","44",2.11449924453714,0.655172413793104,0.873563218390805
"AWBE","6","50",2.16907912174997,0.724137931034483,0.873563218390805
"AWBE","7","42",2.1822104975082,0.666666666666667,0.879310344827586
"AWBE","8","42",2.26759366913584,0.632183908045977,0.873563218390805
"SAE_NC_R1","0","5",1.2342242156175,0.454022988505747,0.827586206896552
"SAE_NC_R1","1","40",2.06944135270017,0.689655172413793,0.850574712643678
"SAE_NC_R1","2","44",2.42279177361278,0.729885057471264,0.85632183908046
"SAE_NC_R1","3","40",2.66739136000844,0.672413793103448,0.862068965517241
"SAE_NC_R1","4","46",2.81938928691725,0.701149425287356,0.862068965517242
"SAE_NC_R1","5","38",2.85549347880196,0.626436781609195,0.867816091954023
"SAE_NC_R1","6","48",2.87767397197073,0.660919540229885,0.873563218390805
"SAE_NC_R1","7","40",2.90085191797491,0.637931034482759,0.873563218390805
"SAE_NC_R1","8","44",2.91661332501826,0.672413793103448,0.867816091954023
"AWAE_NC_R1","0","5",1.23852185712378,0.505747126436782,0.833333333333333
"AWAE_NC_R1","1","30",2.05848063365692,0.626436781609195,0.839080459770115
"AWAE_NC_R1","2","40",2.17631823122423,0.655172413793104,0.844827586206896
"AWAE_NC_R1","3","42",2.2944321707598,0.683908045977012,0.862068965517242
"AWAE_NC_R1","4","46",2.3807247205482,0.689655172413793,0.862068965517241
"AWAE_NC_R1","5","48",2.30381932861577,0.735632183908046,0.867816091954023
"AWAE_NC_R1","6","46",2.31015512522594,0.689655172413793,0.873563218390805
"AWAE_NC_R1","7","42",2.36135824705357,0.67816091954023,0.867816091954023
"AWAE_NC_R1","8","46",2.45765369839997,0.701149425287356,0.85632183908046
"AWBE_NC_R1","0","5",1.26036721854023,0.459770114942529,0.862068965517241
"AWBE_NC_R1","1","44",1.96539999976862,0.666666666666667,0.85632183908046
"AWBE_NC_R1","2","14",1.5928396111949,0.540229885057471,0.85632183908046
"AWBE_NC_R1","3","34",1.78532209301006,0.632183908045977,0.867816091954023
"AWBE_NC_R1","4","40",1.92143091593758,0.637931034482758,0.873563218390805
"AWBE_NC_R1","5","42",1.80223389936314,0.637931034482758,0.879310344827586
"AWBE_NC_R1","6","38",1.79303312252121,0.649425287356322,0.867816091954023
"AWBE_NC_R1","7","46",1.74161936232606,0.718390804597701,0.873563218390805
"AWBE_NC_R1","8","44",1.80508480589244,0.67816091954023,0.879310344827586
